,2011.0,2012.0,2015.0,2016.0,2017.0,2018.0,2019.0,change_15to19
11.63,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-4.0
ALTERNATIVE WORK,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0
Agricultural Equipment Operators,0.0,0.0,2.0,14.0,0.0,15.0,6.0,4.0
Alpaca,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Alpacas,3.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0
Apples,0.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0
Beans,0.0,0.0,0.0,21.0,0.0,0.0,10.0,10.0
Berry Planting,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Blackberries,0.0,0.0,8.0,21.0,0.0,2.0,0.0,-8.0
Blueberries,0.0,4.0,7.0,2.0,0.0,0.0,0.0,-7.0
Burley Tobacco,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Cantaloupes,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Cauliflower,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
Cleaning and Maintenance,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0
Construction of Livestock Buildings,0.0,0.0,68.0,113.0,0.0,57.0,60.0,-8.0
Corn,2.0,2.0,0.0,5.0,8.0,2.0,21.0,21.0
Crop,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Crop Activities,0.0,0.0,24.0,0.0,0.0,0.0,0.0,-24.0
Cucumbers,0.0,0.0,0.0,135.0,0.0,9.0,0.0,0.0
DIVERSIFIED CROP,0.0,0.0,22.0,0.0,0.0,0.0,0.0,-22.0
Dark Fired and Air Cured Tobacco,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-6.0
Elk,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Evergreens,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
"FARMWORKERS, LABORERS, CROP",0.0,0.0,4.0,0.0,0.0,0.0,0.0,-4.0
Farm Labor,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm laborer/ Constructing livestock structures,0.0,0.0,24.0,0.0,0.0,0.0,0.0,-24.0
Flowers,0.0,0.0,0.0,0.0,2.0,12.0,3.0,3.0
"Fruit, vegetables, general farm work",0.0,0.0,15.0,0.0,0.0,0.0,0.0,-15.0
Fruits,10.0,20.0,0.0,0.0,0.0,4.0,4.0,4.0
