year,address,lat,lng,workers
2008,"Apple Creek, OH 44606, USA",40.7517229,-81.8393038,12
2008,"Ashville, OH 43103, USA",39.7156186,-82.9529584,3
2008,"Avon, OH, USA",41.4517093,-82.0354225,25
2008,"Brown County, OH, USA",38.9092089,-83.8473015,4
2008,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,19
2008,"Cincinnati, OH, USA",39.1031182,-84.5120196,10
2008,"Clermont County, OH, USA",39.0928449,-84.1857115,4
2008,"Columbus, OH, USA",39.9611755,-82.9987942,20
2008,"Copley Township, OH, USA",41.0875099,-81.6363869,20
2008,"Geauga County, OH, USA",41.4641521,-81.20781640000001,4
2008,"Geneva, OH 44041, USA",41.8050539,-80.9481489,7
2008,"Georgetown, OH 45121, USA",38.8645138,-83.9040944,4
2008,"Greenville, OH 45331, USA",40.1028264,-84.6330115,16
2008,"Hamilton County, OH, USA",39.23554470000001,-84.56414699999998,8
2008,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,12
2008,"Huron, OH, United States",41.3909111022949,-82.5583877563477,336
2008,"Jamestown, OH 45335, USA",39.6581163,-83.73492359999999,77
2008,"Lake County, OH, USA",41.7112668,-81.2455855,50
2008,"Lorain, OH, United States",41.4682006835938,-82.1781463623047,18
2008,"Loudonville, OH 44842, USA",40.63533820000001,-82.23321440000002,4
2008,"Loveland, OH, United States",39.2545013427734,-84.2449035644531,6
2008,"Madison, OH, United States",41.7711982727051,-81.0500793457031,64
2008,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2008,"Mason, OH, United States",39.356971740722706,-84.29762268066409,10
2008,"Medway, OH, United States",39.8823204040527,-84.0100326538086,4
2008,"Mentor, OH 44060, USA",41.6661573,-81.339552,6
2008,"Middletown, OH, USA",39.5150576,-84.39827629999998,4
2008,"New Carlisle, OH, United States",39.936550140380895,-84.02503967285159,92
2008,"OH, United States",40.4130516052246,-82.7112121582031,31
2008,"Oakwood, OH, United States",41.36489868164061,-81.50762939453129,110
2008,"Painesville, OH, United States",41.7242393493652,-81.2452774047852,44
2008,"Perry, OH, United States",41.771671295166,-81.14666748046879,61
2008,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2008,"Sandusky, OH, United States",41.44876098632809,-82.7073669433594,4
2008,"Sidney, OH, United States",40.2868804931641,-84.1542129516602,2
2008,"Solon, OH, United States",41.3871192932129,-81.4344024658203,16
